"p" "s1" "s2" "Jabd" "Labd"
2 1 2 0.770079435003639 0.87010720510637
2 1 3 0.895332671300894 0.944776275804254
2 1 4 0.837593984962406 0.911620294599018
2 1 5 0.831191095045537 0.907814697542386
2 1 6 0.79993163930041 0.888846689323517
2 1 7 0.697826548290911 0.822023367455723
2 1 8 0.66739385019184 0.800523343797932
2 1 9 0.203933150027722 0.338778195488722
2 1 10 0.696300320043456 0.820963495456534
2 1 11 0.433453824011433 0.604768450508491
2 1 12 0.807868155236576 0.893724636828795
2 1 13 0.155263157894737 0.26879271070615
2 1 14 0.98421052631579 0.992042440318302
2 1 15 0.74333587569068 0.852774139574433
2 1 16 0.556619446038602 0.715164451343747
2 1 17 0.856203007518797 0.92253164556962
2 1 18 0.473419839253747 0.642613634812361
2 1 19 0.804599734630694 0.891720994068918
2 1 20 0.728992640614915 0.843257077549675
2 1 21 0.673539672600411 0.804928241173798
2 1 22 0.747307043115944 0.855381480959733
2 1 23 0.602554507263082 0.751992527595399
2 1 24 0.547067630849606 0.707231694259122
2 1 25 0.55764264576733 0.716008446844523
2 1 26 0.749825437608617 0.857028845841171
2 1 27 0.780113801993089 0.876476325412051
2 1 28 0.560213045583454 0.718123780812201
2 1 29 0.337201008825302 0.504338549851267
2 1 30 0.938482570061517 0.968265162200282
2 1 31 0.457263454097784 0.627564566739078
2 1 32 0.552961380794595 0.712137967670084
2 1 33 0.386124401913876 0.55712806351398
2 1 34 0.557798644439208 0.716137026348499
2 1 35 0.862094990467798 0.925940937364555
2 1 36 0.287960553774949 0.447157411662882
2 1 37 0.228291027493064 0.371721395635373
2 1 38 0.19752841332076 0.329893489162419
2 1 39 0.749874686716792 0.857061014036093
2 1 40 0.47858687815429 0.647357128925298
2 1 41 0.799298245614035 0.888455538221529
2 1 42 0.184911230126935 0.312109844898889
2 1 43 0.487718739843003 0.655659872772015
2 1 44 0.444414416392596 0.615355830499829
2 1 45 0.522196066526597 0.686108810829033
2 1 46 0.210749715746815 0.348130935743099
2 1 47 0.461214460203921 0.631275521513189
2 1 48 0.360813982713304 0.530291409842634
2 1 49 0.47254846263061 0.641810405053065
2 1 50 0.14818523665495 0.258120783867006
2 1 51 0.953988062940857 0.976452293679885
