"p" "s1" "s2" "Jabd" "Labd"
6 1 2 0.778373129292644 0.875376619756109
6 1 3 0.866669867486076 0.928573265773297
6 1 4 0.227008149010477 0.370018975332068
6 1 5 0.4638593714569 0.633748542382519
6 1 6 0.796501777216059 0.886725287241691
6 1 7 0.683449179580215 0.811962948297186
6 1 8 0.913279132791328 0.954674220963173
6 1 9 0.748240109217902 0.855992383737995
6 1 10 0.739484984264149 0.850234398058885
6 1 11 0.503192980460766 0.669498842798647
6 1 12 0.503192980460766 0.669498842798647
6 1 13 0.735005729133989 0.84726605427506
6 1 14 0.837968841332364 0.911842271194229
6 1 15 0.65990572658348 0.795112295855185
6 1 16 0.521821724316965 0.68578561598754
6 1 17 0.805328330206379 0.89216827402727
6 1 18 0.58696078142698 0.739729410199023
6 1 19 0.833495593359295 0.909187451966744
6 1 20 0.668957402759998 0.801647066190816
6 1 21 0.696007081038552 0.8207596404755
6 1 22 0.442893934987636 0.613896731073904
6 1 23 0.633978022237339 0.775993328685363
6 1 24 0.750131740912904 0.85722888554849
6 1 25 0.663717261225374 0.797872663455481
6 1 26 0.642770404175004 0.782544417091324
6 1 27 0.760020131747222 0.863649361774889
6 1 28 0.844052001840773 0.915431886951368
6 1 29 0.281527537965745 0.439362447743625
6 1 30 0.477040650406504 0.645941125960501
6 1 31 0.513011923550702 0.678133351846663
6 1 32 0.372643634797841 0.542957582508621
6 1 33 0.311786891962072 0.475362109306832
6 1 34 0.536794075588459 0.698589465062732
6 1 35 0.541096498981153 0.702222734707245
6 1 36 0.121951219512195 0.217391304347826
6 1 37 0.208928571428571 0.345642540620384
6 1 38 0.316080224293968 0.480335800902311
6 1 39 0.245302044183701 0.393963930806036
6 1 40 0.322033898305085 0.487179487179487
6 1 41 0.21588387440845 0.355106073782714
6 1 42 0.118343195266272 0.211640211640212
6 1 43 0.211044991049816 0.34853369215766
6 1 44 0.213009682258284 0.351208544125913
6 1 45 0.0772833723653396 0.143478260869565
6 1 46 0.200093940817285 0.333463796477495
6 1 47 0.523192795742939 0.686968579690204
6 1 48 0.233269491067551 0.378294432412541
6 1 49 0.121951219512195 0.217391304347826
6 1 50 0.174905888791231 0.297735998193315
6 1 51 0.17572827622796 0.29892668192304
6 1 52 0.324353256021409 0.489828910144147
6 1 53 0.0238095238095238 0.0465116279069767
6 1 54 0.177548682703322 0.301556420233463
6 1 55 0.113501160173968 0.203863568774791
6 1 56 0.024390243902439 0.0476190476190476
6 1 57 0.63307577430037 0.775317084807761
6 1 58 0.332130649449297 0.498645759087669
6 1 59 0.40287456445993 0.57435579012729
6 1 60 0.367128279536643 0.537079489952578
6 1 61 0.718529992851332 0.836214667000568
6 1 62 0.457704084505212 0.627979422395006
6 1 63 0.741785248577144 0.851752819910612
6 1 64 0.431194598883515 0.602565995176188
6 1 65 0.686504265244891 0.81411506557347
6 1 66 0.448137179627802 0.618915370632196
6 1 67 0.666510318949343 0.799887419082466
6 1 68 0.43649175117087 0.607719119605232
6 1 69 0.754544765944554 0.860103179571308
6 1 70 0.754544765944554 0.860103179571308
6 1 71 0.590230928905034 0.742321027942076
6 1 72 0.518709677419355 0.683092608326253
6 1 73 0.622653138464098 0.767450693810586
6 1 74 0.317669973138838 0.482169252718285
6 1 75 0.431530228617057 0.602893630872107
6 1 76 0.555889531689568 0.714561696531139
6 1 77 0.54098659054893 0.702130172795624
6 1 78 0.777107635206787 0.874575765486891
6 1 79 0.583143633684948 0.736690747797298
6 1 80 0.617284240150094 0.763359000014501
6 1 81 0.271754002193582 0.427368817750678
6 1 82 0.600592906793937 0.750463036846705
6 1 83 0.501022180274706 0.667574652605084
6 1 84 0.441300231432779 0.612364061017444
6 2 3 0.704103432736794 0.826362319575875
6 2 4 0.0455580865603645 0.0871459694989107
6 2 5 0.376290227462227 0.546818134654748
6 2 6 1 1
6 2 7 0.769996167096131 0.870054050297061
6 2 8 0.632582009487859 0.774946686673707
6 2 9 0.69703794543642 0.821475969127097
6 2 10 0.508721311064789 0.674374130376346
6 2 11 0.70098156406131 0.82420830286676
6 2 12 0.70098156406131 0.82420830286676
6 2 13 0.695106490872211 0.820133123924912
6 2 14 0.790958998112884 0.883279850567556
6 2 15 0.89262315150602 0.943265594945018
6 2 16 0.509172624146845 0.674770554408495
6 2 17 0.738328912466844 0.84946974898909
6 2 18 0.518149245558286 0.682606465832338
6 2 19 1 1
6 2 20 0.492542433198108 0.660004596509495
6 2 21 0.748052373993954 0.855869520985578
6 2 22 0.733878190774743 0.84651643313747
6 2 23 0.545151844206291 0.705628830267258
6 2 24 0.790123906932265 0.882758901629665
6 2 25 0.738330904553841 0.849471067470138
6 2 26 0.71476207288847 0.833657431767747
6 2 27 0.808280942384518 0.89397717294821
6 2 28 0.944412817176318 0.971411840977058
6 2 29 0.448646475713212 0.619400914211771
6 2 30 0.592836552228318 0.744378387599107
6 2 31 0.771728171002218 0.871158661506943
6 2 32 0.453439320148426 0.62395356154548
6 2 33 0.395893711788427 0.567226155465957
6 2 34 0.64551537058578 0.784575315581507
6 2 35 0.690315508717019 0.816788942841779
6 2 36 0.0804597701149425 0.148936170212766
6 2 37 0.114935406920908 0.206174108755453
6 2 38 0.489499554986155 0.657267138278138
6 2 39 0.234327374778182 0.379684319681062
6 2 40 0.153639846743295 0.266356692128861
6 2 41 0.144448273319881 0.252433031159822
6 2 42 0.0788732394366197 0.14621409921671
6 2 43 0.360705918783718 0.530174689188004
6 2 44 0.122099159922718 0.217626328017441
6 2 45 0.210436755530346 0.347703842549203
6 2 46 0.168742325907735 0.288758817349542
6 2 47 1 1
6 2 48 0.190318882314543 0.319777977384468
6 2 49 0.0804597701149425 0.148936170212766
6 2 50 0.281008762344533 0.438730429650183
6 2 51 0.299808429118774 0.461311717022845
6 2 52 0.324049513704686 0.489482470784641
6 2 53 0.0125492269101955 0.0247873912234166
6 2 54 0.120652768794467 0.215325874622625
6 2 55 0.0786672836649699 0.145860145860146
6 2 56 0.0258620689655172 0.0504201680672269
6 2 57 0.655531609195402 0.791928834888262
6 2 58 0.195777111444278 0.327447497649148
6 2 59 0.350576563808542 0.51915096589554
6 2 60 0.382183908045977 0.553014553014553
6 2 61 1 1
6 2 62 1 1
6 2 63 0.992610837438424 0.996291718170581
6 2 64 0.491347106865662 0.658930579747216
6 2 65 0.566534040671972 0.723296176097079
6 2 66 0.616698595146871 0.762911029920016
6 2 67 0.826867816091954 0.905230043255997
6 2 68 0.486438209598081 0.654501756557522
6 2 69 0.869386735203827 0.930130420668716
6 2 70 1 1
6 2 71 0.632577120330332 0.774943017947401
6 2 72 0.471881767077643 0.641195206887499
6 2 73 0.34446608784174 0.512420641854505
6 2 74 0.247930246653715 0.397346321749203
6 2 75 0.637291031525344 0.77847006946789
6 2 76 0.834935671373375 0.910043533840573
6 2 77 0.603193211960402 0.752489727950895
6 2 78 0.997063968015992 0.998529825768714
6 2 79 0.945173118961991 0.971813880983886
6 2 80 0.922590627763042 0.959736944974591
6 2 81 0.148104958000788 0.257998986884763
6 2 82 0.982178866706997 0.991009321311851
6 2 83 0.535176795316115 0.697218453208726
