"p" "s1" "s2" "Jabd" "Labd"
5 1 2 0.276122721209426 0.432752613240418
5 1 3 0.310696480688645 0.474093713176683
5 1 4 0 0
5 1 5 0.279809220985691 0.437267080745342
5 1 6 0.361514522821577 0.531047619047619
5 1 7 0.156287569127194 0.270326471199834
5 1 8 0.207059926068621 0.34308143547274
5 1 9 0.25460563292325 0.405873568939771
5 1 10 0.123595505617978 0.22
5 1 11 0.123595505617978 0.22
5 1 12 0.485714285714286 0.653846153846154
5 1 13 0.443708609271523 0.614678899082569
5 1 14 0.228637413394919 0.37218045112782
5 1 15 0.128054452209764 0.227035941321656
5 1 16 0.283884459547772 0.442227425430113
5 1 17 0.173878417839129 0.296246042514699
5 1 18 0.274771372206781 0.431091218703976
5 1 19 0.162273522605407 0.279234654234654
5 1 20 0.281724080624866 0.43960175966659
5 1 21 0.208102108768035 0.344510794671566
5 1 22 0.34283792175533 0.510616979459709
5 1 23 0.123595505617978 0.22
5 1 24 0.272064566519136 0.427752762996316
5 1 25 0.130434782608696 0.230769230769231
5 1 26 0.298950131233596 0.460295009092746
5 1 27 0.115384615384615 0.206896551724138
5 1 28 0.115384615384615 0.206896551724138
5 1 29 0 0
5 1 30 0 0
5 1 31 0.0541611624834875 0.102756892230576
5 1 32 0.0654603512506652 0.122877122877123
5 1 33 0.0770421134077595 0.143062397372742
5 1 34 0 0
5 1 35 0 0
5 1 36 0 0
5 1 37 0 0
5 1 38 0 0
5 1 39 0.0573426573426573 0.108465608465608
5 1 40 0 0
5 1 41 0.189508681196897 0.318633540372671
5 1 42 0.0673915792135542 0.126273394930111
5 1 43 0 0
5 1 44 0.0805500982318271 0.149090909090909
5 1 45 0 0
5 1 46 0.0839382095663503 0.154876373626374
5 1 47 0 0
5 1 48 0.107913669064748 0.194805194805195
5 1 49 0 0
5 1 50 0.164059156403062 0.281874259569427
5 1 51 0.243128964059197 0.391156462585034
5 1 52 0.0480720306174369 0.0917342114150625
5 1 53 0.0975954738330976 0.177835051546392
