"p" "s1" "s2" "Jabd" "Labd" "MeanJ" "VarJ" "MeanL" "VarL"
2 1 2 0.770079435003639 0.87010720510637 0.713804236132805 0.0514130839850812 0.809645429367121 0.0322189217603268
2 1 3 0.895332671300894 0.944776275804254 0.894460515653809 0.0102112806420842 0.941080916152372 0.00364968891114935
2 1 4 0.837593984962406 0.911620294599018 0.720859939094357 0.0585048491185507 0.811392945841303 0.0364826774640662
2 1 5 0.831191095045537 0.907814697542386 0.802507881526428 0.0197282267481808 0.883102624143258 0.00898776095017252
2 1 6 0.79993163930041 0.888846689323517 0.776211662581857 0.0241359993669443 0.864495941804743 0.0120608671736957
2 1 7 0.697826548290911 0.822023367455723 0.682712403543589 0.0290226371740016 0.798195727859338 0.0175405031381168
2 1 8 0.66739385019184 0.800523343797932 0.647333985369734 0.0456693110788483 0.763562119767829 0.0307192237482484
2 1 9 0.203933150027722 0.338778195488722 0.235596155624273 0.0466243715976379 0.339306286057368 0.0603225890936991
2 1 10 0.696300320043456 0.820963495456534 0.708773028455522 0.0554794614054628 0.804442325450222 0.0343088852364744
2 1 11 0.433453824011433 0.604768450508491 0.436119691418212 0.03259769283277 0.584073088886239 0.0352989032684476
2 1 12 0.807868155236576 0.893724636828795 0.811541422082887 0.0174059066328645 0.88956933364918 0.00789574947822828
2 1 13 0.155263157894737 0.26879271070615 0.206108143240707 0.0340713829683382 0.310279113079623 0.0443276754878464
2 1 14 0.98421052631579 0.992042440318302 0.876080208592629 0.0200676788445514 0.92712108936547 0.00829346012471958
2 1 15 0.74333587569068 0.852774139574433 0.751725450159844 0.0133965700842099 0.853039572150955 0.00633493105553332
2 1 16 0.556619446038602 0.715164451343747 0.587074218376315 0.0167124609159595 0.731136697479501 0.0115578379680463
2 1 17 0.856203007518797 0.92253164556962 0.867673162994358 0.0133253682846916 0.924731661787553 0.00517685748562272
2 1 18 0.473419839253747 0.642613634812361 0.512735493013724 0.0192032211760214 0.667059301027079 0.0142424006318778
2 1 19 0.804599734630694 0.891720994068918 0.750457084387751 0.0281191736335835 0.846100973782276 0.0142822303363757
2 1 20 0.728992640614915 0.843257077549675 0.694545863706685 0.019418026752411 0.811156643749506 0.0111004471656017
2 1 21 0.673539672600411 0.804928241173798 0.651418121610666 0.0205505772605923 0.779250948820951 0.0126382112112422
2 1 22 0.747307043115944 0.855381480959733 0.770732539801385 0.013456204225717 0.865471177423051 0.00601487343484436
2 1 23 0.602554507263082 0.751992527595399 0.551606291301577 0.0255792669810948 0.696529546105842 0.0201421367531149
2 1 24 0.547067630849606 0.707231694259122 0.570110330122358 0.0251511451000897 0.712400178473512 0.0191769859048616
2 1 25 0.55764264576733 0.716008446844523 0.570564098749131 0.0264321498520251 0.71228305350289 0.0195183491559807
2 1 26 0.749825437608617 0.857028845841171 0.744211535835131 0.0280341487885801 0.841628638796393 0.0152379397668131
2 1 27 0.780113801993089 0.876476325412051 0.763271551846272 0.028564477480202 0.854493109528456 0.014106513994897
