"p" "s1" "s2" "n" "nsp1" "m" "nsp2" "nsh" "fm1" "fm2" "f1m" "f2m" "u_pt1" "v_pt1" "Junad" "Lunad" "U" "V" "Jabd" "Labd"
1 1 2 44 17 72 26 13 4 2 5 4 0.886363636363636 0.666666666666667 0.614173228346457 0.760975609756097 1 0.78543244949495 0.78543244949495 0.87982320441989
1 1 3 44 17 73 33 13 5 1 5 5 0.863636363636364 0.63013698630137 0.573114754098361 0.728636932055023 1 0.717154420921544 0.717154420921544 0.835282386003082
1 1 4 44 17 4 4 1 1 1 0 1 0.0454545454545455 0.25 0.04 0.0769230769230769 0.0625 0.25 0.0526315789473684 0.1
1 1 5 44 17 114 33 12 2 1 4 4 0.863636363636364 0.675438596491228 0.610346266166041 0.758031088082902 0.93122009569378 0.744019138755981 0.70526266729392 0.827160156403472
1 1 6 44 17 67 25 10 4 2 4 2 0.772727272727273 0.432835820895522 0.383956386292835 0.554867754642656 1 0.549525101763908 0.549525101763908 0.709281961471103
1 1 7 44 17 97 29 12 3 1 5 4 0.818181818181818 0.721649484536082 0.621915103652517 0.766889835666464 1 0.923149015932521 0.923149015932521 0.960038986354776
1 1 8 44 17 47 15 9 4 2 4 1 0.727272727272727 0.531914893617021 0.443458980044346 0.614439324116744 0.86073500967118 0.739845261121857 0.660749985442829 0.795724812566106
1 1 9 44 17 42 17 6 4 1 1 2 0.636363636363636 0.333333333333333 0.28 0.4375 1 0.339150432900433 0.339150432900433 0.506515809677745
1 1 10 44 17 18 7 2 0 1 0 1 0.227272727272727 0.666666666666667 0.204081632653061 0.338983050847458 0.227272727272727 0.666666666666667 0.204081632653061 0.338983050847458
1 1 11 44 17 17 5 3 1 1 0 1 0.295454545454545 0.882352941176471 0.284256559766764 0.442678774120318 0.327540106951872 0.882352941176471 0.313834329632793 0.477738056548586
1 1 12 44 17 51 18 8 3 1 3 2 0.681818181818182 0.705882352941176 0.530973451327433 0.69364161849711 0.815508021390374 0.77774064171123 0.661373393357518 0.796176700556073
1 1 13 44 17 5 3 2 1 1 0 1 0.227272727272727 0.6 0.197368421052632 0.32967032967033 0.3 0.6 0.25 0.4
