"p" "s1" "s2" "n" "nsp1" "m" "nsp2" "nsh" "fm1" "fm2" "f1m" "f2m" "u_pt1" "v_pt1" "Junad" "Lunad" "U" "V" "Jabd" "Labd"
4 1 2 8 6 21 7 2 1 1 1 1 0.5 0.761904761904762 0.432432432432432 0.60377358490566 0.678571428571429 1 0.678571428571429 0.808510638297872
4 1 3 8 6 27 9 3 0 1 2 1 0.625 0.666666666666667 0.476190476190476 0.645161290322581 0.625 1 0.625 0.769230769230769
4 1 4 8 6 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1 5 8 6 16 8 2 1 1 2 1 0.25 0.5 0.2 0.333333333333333 0.30859375 0.9375 0.3023730543506 0.464341692789969
4 1 6 8 6 42 13 3 1 1 3 1 0.375 0.642857142857143 0.310344827586207 0.473684210526316 0.436011904761905 1 0.436011904761905 0.607253886010363
4 1 7 8 6 33 17 3 1 1 2 1 0.625 0.333333333333333 0.277777777777778 0.434782608695652 0.806818181818182 0.598484848484849 0.523471768548764 0.687209017397697
4 1 8 8 6 6 5 1 0 1 1 1 0.125 0.333333333333333 0.1 0.181818181818182 0.125 0.479166666666667 0.110047846889952 0.198275862068966
4 1 9 8 6 26 10 3 1 1 2 1 0.625 0.423076923076923 0.337423312883436 0.504587155963303 0.805288461538462 0.759615384615385 0.641746890079779 0.781785418882193
4 1 10 8 6 19 10 3 0 1 3 1 0.375 0.421052631578947 0.247422680412371 0.396694214876033 0.375 0.973684210526316 0.37123745819398 0.541463414634146
4 1 11 8 6 17 8 1 0 1 1 1 0.125 0.235294117647059 0.0888888888888889 0.163265306122449 0.125 0.338235294117647 0.100436681222707 0.182539682539683
4 1 12 8 6 37 17 3 1 1 2 1 0.625 0.459459459459459 0.360169491525424 0.529595015576324 0.685810810810811 0.719594594594595 0.541184274753746 0.702296647609148
4 1 13 8 6 25 11 2 1 1 2 1 0.25 0.48 0.19672131147541 0.328767123287671 0.31 0.9 0.299677765843179 0.461157024793388
4 1 14 8 6 32 10 3 2 1 3 1 0.375 0.34375 0.218543046357616 0.358695652173913 0.6171875 0.794921875 0.532413770263781 0.694869467496542
4 1 15 8 6 7 7 1 1 1 1 1 0.125 0.142857142857143 0.0714285714285714 0.133333333333333 0.178571428571429 0.205357142857143 0.105601469237833 0.191029900332226
4 1 16 8 6 5 4 1 0 1 1 1 0.125 0.4 0.105263157894737 0.19047619047619 0.125 0.575 0.114427860696517 0.205357142857143
4 1 17 8 6 13 8 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1 18 8 6 17 8 1 0 1 1 1 0.125 0.176470588235294 0.0789473684210526 0.146341463414634 0.125 0.253676470588235 0.0913907284768212 0.16747572815534
4 1 19 8 6 27 15 4 2 1 3 1 0.75 0.444444444444444 0.387096774193548 0.558139534883721 1 0.979166666666667 0.979166666666667 0.989473684210526
4 1 20 8 6 12 9 1 0 1 1 1 0.125 0.333333333333333 0.1 0.181818181818182 0.125 0.479166666666667 0.110047846889952 0.198275862068966
4 1 21 8 6 4 4 1 1 1 1 1 0.125 0.25 0.0909090909090909 0.166666666666667 0.171875 0.359375 0.131565262610504 0.232536764705882
4 1 22 8 6 13 5 3 0 1 2 1 0.625 0.615384615384615 0.449438202247191 0.62015503875969 0.625 1 0.625 0.769230769230769
4 1 23 8 6 6 6 1 1 1 1 1 0.125 0.166666666666667 0.0769230769230769 0.142857142857143 0.177083333333333 0.239583333333333 0.113366193099449 0.203645833333333
4 1 24 8 6 5 3 1 0 1 0 1 0.375 0.4 0.24 0.387096774193548 0.375 0.4 0.24 0.387096774193548
4 1 25 8 6 17 10 2 1 1 2 1 0.25 0.294117647058824 0.15625 0.27027027027027 0.308823529411765 0.551470588235294 0.246826516220028 0.395927601809955
4 1 26 8 6 36 16 3 0 1 2 1 0.625 0.527777777777778 0.40084388185654 0.572289156626506 0.625 0.84375 0.560165975103734 0.718085106382979
4 1 27 8 6 15 11 2 1 1 2 1 0.25 0.266666666666667 0.148148148148148 0.258064516129032 0.308333333333333 0.5 0.235668789808917 0.381443298969072
4 1 28 8 6 44 13 3 0 1 2 1 0.625 0.522727272727273 0.397923875432526 0.569306930693069 0.625 0.940340909090909 0.601162368325463 0.750907441016334
4 1 29 8 6 39 16 1 0 1 1 1 0.125 0.0512820512820513 0.0377358490566038 0.0727272727272727 0.125 0.0737179487179487 0.0486257928118393 0.092741935483871
4 1 30 8 6 39 24 1 0 1 1 1 0.125 0.0512820512820513 0.0377358490566038 0.0727272727272727 0.125 0.0737179487179487 0.0486257928118393 0.092741935483871
4 1 31 8 6 35 18 1 1 1 1 1 0.125 0.0285714285714286 0.0238095238095238 0.0465116279069767 0.185714285714286 0.0410714285714286 0.0348038645093703 0.0672665916760405
4 1 32 8 6 49 24 1 1 1 1 1 0.125 0.0204081632653061 0.0178571428571429 0.0350877192982456 0.186224489795918 0.0293367346938775 0.0260031903854791 0.0506883226663446
