"p" "s1" "s2" "n" "nsp1" "m" "nsp2" "nsh" "fm1" "fm2" "f1m" "f2m" "u_pt1" "v_pt1" "Junad" "Lunad" "U" "V" "Jabd" "Labd"
3 1 2 29 11 48 13 5 1 1 1 2 0.724137931034483 0.791666666666667 0.608231707317073 0.756398104265403 0.741020114942529 0.79669540229885 0.623178805241217 0.767849855147175
3 1 3 29 11 44 14 8 2 1 3 3 0.862068965517241 0.840909090909091 0.741185897435897 0.851357570179475 0.963166144200627 0.917711598746081 0.886596013777375 0.939889629049112
3 1 4 29 11 10 4 2 1 1 1 1 0.275862068965517 0.4 0.195121951219512 0.326530612244898 0.38448275862069 0.544827586206897 0.291007301199247 0.450822084319621
3 1 5 29 11 52 16 7 3 1 1 4 0.862068965517241 0.711538461538462 0.638812154696133 0.77960387694901 1 0.713859416445623 0.713859416445623 0.833043141806926
3 1 6 29 11 38 11 8 4 1 2 4 0.896551724137931 0.842105263157895 0.767527675276753 0.868475991649269 1 0.85480943738657 0.85480943738657 0.921722113502935
3 1 7 29 11 60 18 8 1 1 2 4 0.896551724137931 0.683333333333333 0.63339275103981 0.775554747180793 0.913505747126437 0.703448275862069 0.659520763459078 0.794832795082821
3 1 8 29 11 65 19 8 0 3 2 4 0.896551724137931 0.584615384615385 0.547671840354767 0.707736389684814 0.896551724137931 0.603183023872679 0.563934301138857 0.721173901906493
3 1 9 29 11 86 15 8 2 4 3 3 0.862068965517241 0.372093023255814 0.351185250219491 0.519818063677713 0.955793905372895 0.405773857257418 0.398298860317976 0.5696906028049
3 1 10 29 11 47 16 7 3 1 2 3 0.827586206896552 0.702127659574468 0.612529002320186 0.759712230215827 1 0.715822939594033 0.715822939594033 0.834378563283922
3 1 11 29 11 40 14 8 4 1 3 3 0.862068965517241 0.75 0.669642857142857 0.802139037433155 1 0.786206896551724 0.786206896551724 0.88030888030888
3 1 12 29 11 75 20 9 2 2 3 4 0.931034482758621 0.693333333333333 0.659464537341475 0.794791961505802 0.982068965517241 0.722298850574713 0.712897134076429 0.83238756127736
3 1 13 29 11 73 15 9 3 2 4 3 0.896551724137931 0.89041095890411 0.807453416149068 0.893470790378007 0.998582900330657 0.978586049441033 0.977228950172704 0.988483352003668
3 1 14 29 11 88 20 8 1 1 2 4 0.896551724137931 0.647727272727273 0.602684017893453 0.752093377315402 0.913597178683386 0.664184952978056 0.624930074953325 0.769177805969621
3 1 15 29 11 58 14 4 1 1 1 2 0.413793103448276 0.482758620689655 0.286689419795222 0.445623342175066 0.430737217598098 0.48692033293698 0.296267752945062 0.457108883981654
3 1 16 29 11 86 12 6 2 2 1 3 0.793103448275862 0.418604651162791 0.37739288969918 0.547981469225678 0.963512429831596 0.420475808607324 0.413885453760668 0.585458252873047
3 1 17 29 11 65 16 7 5 1 2 3 0.827586206896552 0.384615384615385 0.356083086053412 0.525164113785558 1 0.394518125552608 0.394518125552608 0.565812832868374
3 1 18 29 11 56 15 7 4 1 2 3 0.827586206896552 0.285714285714286 0.269662921348315 0.424778761061947 1 0.302955665024631 0.302955665024631 0.465028355387524
