"p" "s1" "s2" "n" "nsp1" "m" "nsp2" "nsh" "fm1" "fm2" "f1m" "f2m" "u_pt1" "v_pt1" "Junad" "Lunad" "U" "V" "Jabd" "Labd"
2 1 2 95 28 20 8 6 3 1 1 1 0.610526315789474 0.85 0.55114589155953 0.710630630630631 0.865526315789474 0.874736842105263 0.770079435003639 0.87010720510637
2 1 3 95 28 53 26 17 10 3 6 4 0.810526315789474 0.811320754716981 0.681977342945417 0.810923340680872 1 0.895332671300894 0.895332671300894 0.944776275804254
2 1 4 95 28 21 9 7 4 1 3 1 0.536842105263158 0.857142857142857 0.492753623188406 0.660194174757281 0.837593984962406 1 0.837593984962406 0.911620294599018
2 1 5 95 28 37 16 11 4 1 2 2 0.726315789473684 0.864864864864865 0.652289512555391 0.789558376542106 0.910668563300142 0.9049786628734 0.831191095045537 0.907814697542386
2 1 6 95 28 64 16 11 5 2 2 2 0.726315789473684 0.84375 0.64020618556701 0.780641106222502 0.920600328947369 0.859210526315789 0.79993163930041 0.888846689323517
2 1 7 95 28 52 14 9 3 1 2 2 0.642105263157895 0.903846153846154 0.60104821802935 0.750818384182271 0.73502024291498 0.932388663967611 0.697826548290911 0.822023367455723
2 1 8 95 28 14 11 6 5 1 1 1 0.536842105263158 0.642857142857143 0.413513513513514 0.58508604206501 0.976691729323308 0.678195488721804 0.66739385019184 0.800523343797932
2 1 9 95 28 10 5 3 2 1 1 1 0.126315789473684 0.8 0.122448979591837 0.218181818181818 0.211578947368421 0.849473684210526 0.203933150027722 0.338778195488722
2 1 10 95 28 20 8 7 4 1 1 2 0.515789473684211 0.95 0.502157497303128 0.668581687612208 0.715789473684211 0.962368421052632 0.696300320043456 0.820963495456534
2 1 11 95 28 22 12 6 2 2 1 1 0.526315789473684 0.590909090909091 0.385756676557863 0.556745182012848 0.576555023923445 0.635885167464115 0.433453824011433 0.604768450508491
2 1 12 95 28 33 17 12 7 2 2 3 0.747368421052632 0.787878787878788 0.622177283451298 0.76708913359651 1 0.807868155236576 0.807868155236576 0.893724636828795
2 1 13 95 28 10 4 4 3 1 1 2 0.0842105263157895 1 0.0842105263157895 0.155339805825243 0.155263157894737 1 0.155263157894737 0.26879271070615
2 1 14 95 28 20 13 10 6 2 3 1 0.684210526315789 0.85 0.610497237569061 0.758147512864494 0.98421052631579 1 0.98421052631579 0.992042440318302
2 1 15 95 28 90 27 16 4 5 5 4 0.810526315789474 0.788888888888889 0.666057504873294 0.799561243144424 0.848 0.857602339181286 0.74333587569068 0.852774139574433
2 1 16 95 28 25 18 10 5 4 1 3 0.705263157894737 0.64 0.504945831370702 0.671048513302034 0.8 0.64659649122807 0.556619446038602 0.715164451343747
2 1 17 95 28 56 23 14 8 1 5 3 0.747368421052632 0.767857142857143 0.609624600638978 0.757474258776827 1 0.856203007518797 0.856203007518797 0.92253164556962
2 1 18 95 28 123 45 16 3 4 4 4 0.821052631578947 0.463414634146341 0.42090315251349 0.592444533280032 0.852374839537869 0.515703893881044 0.473419839253747 0.642613634812361
2 1 19 95 28 119 28 13 3 2 5 2 0.726315789473684 0.781512605042017 0.603725656223539 0.752903907074974 0.804599734630694 1 0.804599734630694 0.891720994068918
2 1 20 95 28 91 21 12 2 3 4 2 0.715789473684211 0.879120879120879 0.651653090560613 0.78909196402669 0.72967032967033 0.998727588201272 0.728992640614915 0.843257077549675
2 1 21 95 28 31 16 9 4 2 0 2 0.715789473684211 0.709677419354839 0.553663952627683 0.712720343020486 0.929711375212224 0.709677419354839 0.673539672600411 0.804928241173798
2 1 22 95 28 75 27 16 4 3 4 4 0.831578947368421 0.76 0.658622202720491 0.794179894179894 0.886970760233918 0.825964912280702 0.747307043115944 0.855381480959733
2 1 23 95 28 18 15 8 5 3 0 2 0.621052631578947 0.611111111111111 0.445130315500686 0.616041765543427 0.97729044834308 0.611111111111111 0.602554507263082 0.751992527595399
2 1 24 95 28 19 12 7 3 2 0 2 0.642105263157895 0.684210526315789 0.495315427857589 0.662489557226399 0.73185595567867 0.684210526315789 0.547067630849606 0.707231694259122
2 1 25 95 28 30 16 7 3 2 1 1 0.631578947368421 0.7 0.497041420118343 0.66403162055336 0.715526315789474 0.716491228070175 0.55764264576733 0.716008446844523
2 1 26 95 28 104 20 10 4 2 1 2 0.663157894736842 0.903846153846154 0.619456066945607 0.765017439607286 0.809109311740891 0.910981781376518 0.749825437608617 0.857028845841171
2 1 27 95 28 38 20 12 6 2 4 2 0.663157894736842 0.763157894736842 0.549969897652017 0.709652359681492 0.816897506925208 0.945429362880886 0.780113801993089 0.876476325412051
2 1 28 95 28 40 9 6 2 1 0 1 0.547368421052632 0.875 0.507670850767085 0.673450508788159 0.608947368421053 0.875 0.560213045583454 0.718123780812201
2 1 29 95 28 29 17 8 4 2 3 1 0.242105263157895 0.517241379310345 0.197481396680023 0.329827915869981 0.374228675136116 0.773139745916515 0.337201008825302 0.504338549851267
2 1 30 95 28 77 24 11 4 1 3 1 0.705263157894737 0.649350649350649 0.510748589724043 0.676152992229286 1 0.938482570061517 0.938482570061517 0.968265162200282
2 1 31 95 28 34 14 6 0 2 0 2 0.547368421052632 0.735294117647059 0.457263454097784 0.627564566739078 0.547368421052632 0.735294117647059 0.457263454097784 0.627564566739078
2 1 32 95 28 93 29 11 3 1 3 2 0.642105263157895 0.612903225806452 0.456838785967678 0.627164502164502 0.751443123938879 0.676740237691002 0.552961380794595 0.712137967670084
2 1 33 95 28 22 12 5 3 1 1 1 0.494736842105263 0.363636363636364 0.265162200282087 0.41917502787068 1 0.386124401913876 0.386124401913876 0.55712806351398
2 1 34 95 28 90 32 10 3 2 3 1 0.631578947368421 0.633333333333333 0.462474645030426 0.63245492371706 0.686228070175439 0.748771929824561 0.557798644439208 0.716137026348499
2 1 35 95 28 51 20 11 4 1 3 2 0.715789473684211 0.803921568627451 0.609398907103825 0.757300013581421 0.963467492260062 0.891228070175439 0.862094990467798 0.925940937364555
2 1 36 95 28 58 20 9 2 1 3 2 0.252631578947368 0.741379310344828 0.232170978627672 0.376848639766295 0.294010889292196 0.933303085299456 0.287960553774949 0.447157411662882
2 1 37 95 28 23 8 5 2 1 0 2 0.189473684210526 0.826086956521739 0.182205647309537 0.308246958089229 0.239816933638444 0.826086956521739 0.228291027493064 0.371721395635373
2 1 38 95 28 21 6 5 1 1 0 2 0.189473684210526 0.952380952380952 0.187695516162669 0.316066725197542 0.199498746867168 0.952380952380952 0.19752841332076 0.329893489162419
2 1 39 95 28 42 17 9 4 2 1 2 0.610526315789474 0.738095238095238 0.50181412224393 0.66827727188255 1 0.749874686716792 0.749874686716792 0.857061014036093
2 1 40 95 28 73 26 8 4 1 3 2 0.536842105263158 0.397260273972603 0.295859171834367 0.456622414325409 1 0.47858687815429 0.47858687815429 0.647357128925298
2 1 41 95 28 30 15 9 7 1 2 1 0.357894736842105 0.733333333333333 0.316680779000847 0.481028938906752 1 0.799298245614035 0.799298245614035 0.888455538221529
