"p" "s1" "s2" "Jabd" "Labd"
3 1 2 0.623178805241217 0.767849855147175
3 1 3 0.886596013777375 0.939889629049112
3 1 4 0.291007301199247 0.450822084319621
3 1 5 0.713859416445623 0.833043141806926
3 1 6 0.85480943738657 0.921722113502935
3 1 7 0.659520763459078 0.794832795082821
3 1 8 0.563934301138857 0.721173901906493
3 1 9 0.398298860317976 0.5696906028049
3 1 10 0.715822939594033 0.834378563283922
3 1 11 0.786206896551724 0.88030888030888
3 1 12 0.712897134076429 0.83238756127736
3 1 13 0.977228950172704 0.988483352003668
3 1 14 0.624930074953325 0.769177805969621
3 1 15 0.296267752945062 0.457108883981654
3 1 16 0.413885453760668 0.585458252873047
3 1 17 0.394518125552608 0.565812832868374
3 1 18 0.302955665024631 0.465028355387524
3 1 19 0.284052081381354 0.442430779093909
3 1 20 0.470495779149314 0.639914491181331
3 1 21 0.0820215410107705 0.151607963246554
3 1 22 0.451852206873701 0.622449316444795
3 1 23 0.0909323225009583 0.166705707816038
3 1 24 0.188433550363845 0.317112471801482
3 1 25 0.268525311812179 0.423366107576634
3 1 26 0.611376319505144 0.758825002086289
3 1 27 0.177215189873418 0.301075268817204
3 1 28 0.342222222222222 0.509933774834437
3 1 29 0.110479999838615 0.198977018685021
3 1 30 0.148490326069168 0.258583503402057
3 1 31 0.0795822746450966 0.147431606676311
3 1 32 0.265382418125029 0.419450143014089
3 1 33 0.0998467607218946 0.181564858465118
3 1 34 0.0473453385607017 0.0904101766963804
3 1 35 0.0854819806621741 0.157500506107025
3 1 36 0.32934131736527 0.495495495495495
3 1 37 0.586768909486055 0.739577018402895
3 1 38 0.406491030965576 0.578021504604283
3 1 39 0.295444870157514 0.456128820243181
3 1 40 0.481600491491367 0.6501084391604
3 1 41 0.316979219462747 0.48137315270936
3 1 42 0.411214062834957 0.582780562728915
3 1 43 0.456407032444584 0.626757523518001
3 1 44 0.611564542765656 0.758969965566667
3 1 45 0.456122238282057 0.626488939307998
3 1 46 0.516109497725155 0.680834067063825
3 1 47 0.474128143493842 0.643265845763052
3 1 48 0.375904923778235 0.546411190601746
3 1 49 0.550728731648102 0.710283778727427
3 1 50 0.0977877094972067 0.178154134266987
3 1 51 0.0888480558474557 0.163196426480837
3 1 52 0.0826344310129221 0.152654356162696
3 1 53 0.377417173766058 0.548007068525427
3 1 54 0.0949986804798993 0.173513780744037
3 1 55 0.154651484791977 0.267875608924263
3 1 56 0.0938661236955968 0.171622690678952
3 1 57 1 1
3 1 58 0.927899686520376 0.96260162601626
3 1 59 0.712960702953381 0.83243089199202
3 1 60 0.756310894596989 0.861249448401942
3 1 61 0.642219027307979 0.78213565502373
3 1 62 0.619381875327397 0.764960859157663
3 1 63 1 1
3 1 64 0.678945901529058 0.808776388698081
3 1 65 0.776674656437462 0.874301497602075
3 1 66 0.893736372276785 0.943886789481971
3 1 67 0.612719186452306 0.759858494398121
3 1 68 0.700059420981457 0.82357053211388
3 1 69 0.755641062244533 0.860814979205908
3 1 70 0.760099413264085 0.863700547294075
3 1 71 0.616474756421612 0.762739726027397
3 1 72 0.461538461538462 0.631578947368421
3 1 73 0.782608695652174 0.878048780487805
3 1 74 0.405515579245555 0.577034627340418
3 1 75 0.338735818476499 0.506053268765133
3 1 76 0.659654745724892 0.794930087024543
3 1 77 0.708578239812424 0.829436104594444
3 1 78 0.485851047977787 0.65397005795301
3 1 79 0.542669312825602 0.703545871190802
3 1 80 0.504954419342053 0.67105609691862
3 1 81 0.283469998981909 0.441724386556393
3 1 82 0.578898886863437 0.733294439156201
3 1 83 0.69546373433947 0.82038172831861
3 1 84 0.572984910213834 0.728531985899269
3 2 3 0.610652776564335 0.758267437215005
3 2 4 0.299332962757087 0.460748663101604
3 2 5 0.771756913337078 0.871176974140866
3 2 6 0.893640350877193 0.943833236826867
3 2 7 0.821128712184418 0.901779985885221
3 2 8 0.937179487179487 0.967571144937128
3 2 9 0.954941860465116 0.976951672862453
3 2 10 0.987588652482269 0.993755575379126
3 2 11 0.707770723419476 0.82888260550843
3 2 12 1 1
3 2 13 0.594696742813855 0.745843051970506
3 2 14 0.757334072444175 0.861912466524755
3 2 15 0.51867816091954 0.683065279091769
3 2 16 1 1
3 2 17 0.962900641025641 0.981099726497122
3 2 18 1 1
3 2 19 0.443131625129641 0.614125028394182
3 2 20 0.583333333333333 0.736842105263158
3 2 21 0.3125 0.476190476190476
3 2 22 0.791666666666667 0.883720930232558
3 2 23 0.665219907407407 0.798957428323197
3 2 24 0.520833333333333 0.684931506849315
3 2 25 0.967309397163121 0.983383090181941
3 2 26 0.526425562090685 0.689749405624026
3 2 27 1 1
3 2 28 0.597222222222222 0.747826086956522
3 2 29 0.0688971042371645 0.128912509845995
3 2 30 0.214930496401313 0.353815295669914
3 2 31 0.0604252715312835 0.113964223889209
3 2 32 0.35036451817698 0.518918430484207
3 2 33 0.0417938379686558 0.0802343735304629
3 2 34 0.064212437248276 0.120675975962674
3 2 35 0.100231649931212 0.182200993649798
3 2 36 0.198979591836735 0.331914893617021
3 2 37 0.160032112182252 0.275909796809331
3 2 38 0.253876940594648 0.404947140146381
3 2 39 0.487654320987654 0.655601659751037
3 2 40 0.3125 0.476190476190476
3 2 41 0.285018929150892 0.443602693602694
3 2 42 0.226893307026863 0.369866402770905
3 2 43 0.587577160493827 0.740218712029162
3 2 44 0.518027008985378 0.6825003849327
3 2 45 0.60421802823287 0.753286670015108
3 2 46 0.376028982810396 0.546542242217015
3 2 47 0.582133538719239 0.73588420253133
3 2 48 0.393032834838878 0.564283662250269
3 2 49 0.628342138522068 0.771756897592014
3 2 50 0.0318257956448911 0.0616883116883117
3 2 51 0.0615444952516658 0.115952737783403
3 2 52 0.0553958091949208 0.10497636756238
3 2 53 0.490441176470588 0.658115441539221
3 2 54 0.0713112957433363 0.133128990661592
3 2 55 0.414269028195518 0.58584190127403
3 2 56 0.0516469700779482 0.098221117061974
3 2 57 0.474511930585683 0.643618977565281
3 2 58 0.600905155700765 0.750706753065244
3 2 59 0.459382934103265 0.629557771806532
3 2 60 0.571559877125511 0.727379065150139
3 2 61 0.820751541938978 0.901552488666227
3 2 62 0.477795612627073 0.646632874728458
3 2 63 0.524050632911392 0.687707641196013
3 2 64 0.452326035271992 0.622898749022674
3 2 65 0.527698302014291 0.690840987803042
3 2 66 0.508355630061559 0.674052749802528
3 2 67 0.258064516129032 0.41025641025641
3 2 68 0.537053267114617 0.698808920425748
3 2 69 0.369585176718227 0.539703821275022
3 2 70 0.484663909791615 0.652893771573718
3 2 71 0.620499747012805 0.76581282799534
3 2 72 0.71113782051282 0.831187075626317
3 2 73 0.652173913043478 0.789473684210526
3 2 74 0.488372093023256 0.65625
3 2 75 0.302300184287762 0.464255765199161
3 2 76 0.630315702708185 0.773243736364854
3 2 77 0.67058363832507 0.802813607102484
3 2 78 0.37062521177815 0.540811898968833
3 2 79 0.606472117885004 0.755035971223021
3 2 80 0.261448036167014 0.41452050131441
3 2 81 0.340451879277319 0.507965835313488
3 2 82 0.386790372505942 0.557820965842167
3 2 83 0.598141247730103 0.748546160834863
3 2 84 0.576855686742072 0.731653113968734
3 3 4 0.207598371777476 0.343820224719101
3 3 5 1 1
3 3 6 0.946172248803828 0.972341733251383
3 3 7 0.903219696969697 0.949149169071549
3 3 8 0.914685314685315 0.955441928414901
3 3 9 0.446584852439396 0.617433331596572
3 3 10 0.865580729146802 0.927947759776296
3 3 11 0.972159090909091 0.985883030826851
3 3 12 0.713534907156931 0.832822143484449
3 3 13 0.710814981739744 0.830966515171511
3 3 14 0.82941632231405 0.90675513517329
3 3 15 0.317693835760392 0.482196739695701
3 3 16 0.52061310782241 0.684741049704554
3 3 17 0.535314685314685 0.697335458893191
3 3 18 0.382102272727273 0.552929085303186
3 3 19 0.275502114164905 0.431990054905211
3 3 20 0.537199612363479 0.698932797071842
3 3 21 0.0404982206405694 0.077843901771667
3 3 22 0.635767554976276 0.777332394253897
3 3 23 0.0924286137186631 0.169216757155478
3 3 24 0.19529747843762 0.326776358121151
3 3 25 0.32857833655706 0.494631483166515
3 3 26 0.864624505928854 0.927397986221516
3 3 27 0.18944930781213 0.318549612106804
3 3 28 0.42 0.591549295774648
3 3 29 0.0335570469798658 0.0649350649350649
3 3 30 0.0864361356458306 0.159118668479208
3 3 31 0.0711845648446129 0.132908122803168
3 3 32 0.0717875290380335 0.133958507806982
3 3 33 0.033003300330033 0.0638977635782748
3 3 34 0.0427387465467743 0.081974025974026
3 3 35 0.0629089079013588 0.118371212121212
3 3 36 0.3 0.461538461538462
3 3 37 0.290907806597247 0.450702683972548
3 3 38 0.310163551401869 0.47347302719572
3 3 39 0.259259259259259 0.411764705882353
3 3 40 0.19482478528741 0.326114402189181
3 3 41 0.181375700247957 0.307058457711443
3 3 42 0.345803842264914 0.513899323816679
3 3 43 0.254956977179199 0.406319868832911
3 3 44 0.360622390350095 0.530084456801133
3 3 45 0.270308653469346 0.425579488467003
3 3 46 0.308792286314316 0.471873634255447
3 3 47 0.247994312638947 0.397428594229008
3 3 48 0.199184848180077 0.332200408439727
3 3 49 0.292320731705974 0.45239656771595
3 3 50 0.068407960199005 0.128055878928987
3 3 51 0.0530219114414269 0.100704288990241
3 3 52 0.0687439103426554 0.128644307915851
3 3 53 0.375668449197861 0.546161321671526
3 3 54 0.0720991453572724 0.134500891395162
3 3 55 0.133470679762137 0.235507952954101
3 3 56 0.111236395256615 0.200202937433357
3 3 57 0.783628779979145 0.878690441391406
3 3 58 0.636363636363636 0.777777777777778
3 3 59 0.519562848127867 0.683831996508706
3 3 60 0.552995391705069 0.712166172106825
3 3 61 0.403024911032028 0.574508560558021
3 3 62 0.54861748538072 0.708525495236605
3 3 63 0.476950959546471 0.645858897973063
3 3 64 0.574500254431691 0.729755683194925
3 3 65 0.630952992376487 0.773723087453447
3 3 66 0.493274666968626 0.660661669122108
3 3 67 0.454391175222741 0.62485414235706
3 3 68 0.63166144200627 0.774255523535062
3 3 69 0.661068322981366 0.795955607406743
3 3 70 0.817158934197567 0.899380806840007
3 3 71 0.738359201773836 0.849489795918367
3 3 72 1 1
3 3 73 0.804622449585296 0.891734944082292
3 3 74 0.69003108039152 0.816589811155029
3 3 75 0.120596519561423 0.215236291486292
3 3 76 0.783820346320346 0.878810860003034
3 3 77 0.845862470862471 0.916495659037096
3 3 78 0.590593486526699 0.742607701501845
3 3 79 0.652223675604971 0.78951014349332
3 3 80 0.28222909713474 0.440216335388749
3 3 81 0.57980888151288 0.734024081390953
3 3 82 0.525851819478178 0.689256732227134
3 3 83 0.68914529980632 0.815969235903316
3 3 84 0.538814552068095 0.700298228066473
3 4 5 0.329414707353677 0.495578551269991
3 4 6 0.436842105263158 0.608058608058608
3 4 7 0.341666666666667 0.509316770186335
3 4 8 0.382273508470415 0.553108348134991
3 4 9 0.297938788257339 0.459095283926853
3 4 10 0.305759457933371 0.468324324324324
3 4 11 0.4875 0.65546218487395
3 4 12 0.296791443850267 0.457731958762887
3 4 13 0.247905741333515 0.397314850188288
3 4 14 0.386623164763458 0.557647058823529
3 4 15 0.0900473933649289 0.165217391304348
3 4 16 0.343052337910219 0.510854757073736
3 4 17 0.387692307692308 0.558758314855876
3 4 18 0.163691478612327 0.281331403762663
3 4 19 0.190084735044897 0.319447396386823
3 4 20 0.415722555669993 0.587293822514895
3 4 21 0.0239471511147812 0.0467741935483871
3 4 22 0.1684911528527 0.288390977443609
3 4 23 0.0536399115873988 0.101818298637882
3 4 24 0.121437422552664 0.216574585635359
3 4 25 0.0818503968263515 0.151315555397424
3 4 26 0 0
