"p" "s1" "s2" "n" "nsp1" "m" "nsp2" "nsh" "fm1" "fm2" "f1m" "f2m" "u_pt1" "v_pt1" "Junad" "Lunad" "U" "V" "Jabd" "Labd"
5 1 2 14 10 5 5 2 2 1 1 1 0.214285714285714 0.4 0.162162162162162 0.27906976744186 0.385714285714286 0.492857142857143 0.276122721209426 0.432752613240418
5 1 3 14 10 12 7 3 1 2 2 1 0.357142857142857 0.416666666666667 0.238095238095238 0.384615384615385 0.373511904761905 0.648809523809524 0.310696480688645 0.474093713176683
5 1 4 14 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 5 14 10 15 9 3 2 1 2 1 0.285714285714286 0.333333333333333 0.181818181818182 0.307692307692308 0.419047619047619 0.457142857142857 0.279809220985691 0.437267080745342
5 1 6 14 10 10 6 3 2 1 2 1 0.357142857142857 0.4 0.232558139534884 0.377358490566038 0.485714285714286 0.585714285714286 0.361514522821577 0.531047619047619
5 1 7 14 10 15 9 2 1 1 1 1 0.214285714285714 0.266666666666667 0.134831460674157 0.237623762376238 0.247619047619048 0.297619047619048 0.156287569127194 0.270326471199834
5 1 8 14 10 6 4 2 1 1 1 1 0.214285714285714 0.5 0.176470588235294 0.3 0.244047619047619 0.577380952380952 0.207059926068621 0.34308143547274
5 1 9 14 10 7 4 2 1 1 1 1 0.214285714285714 0.571428571428571 0.184615384615385 0.311688311688312 0.275510204081633 0.770408163265306 0.25460563292325 0.405873568939771
5 1 10 14 10 4 4 1 1 1 0 1 0.142857142857143 0.25 0.1 0.181818181818182 0.196428571428571 0.25 0.123595505617978 0.22
5 1 11 14 10 4 4 1 1 1 0 1 0.142857142857143 0.25 0.1 0.181818181818182 0.196428571428571 0.25 0.123595505617978 0.22
5 1 12 14 10 10 6 4 2 1 3 1 0.357142857142857 0.8 0.327868852459016 0.493827160493827 0.485714285714286 1 0.485714285714286 0.653846153846154
5 1 13 14 10 9 7 3 3 1 3 1 0.214285714285714 0.333333333333333 0.15 0.260869565217391 0.5 0.797619047619048 0.443708609271523 0.614678899082569
5 1 14 14 10 6 5 2 2 1 2 1 0.142857142857143 0.333333333333333 0.111111111111111 0.2 0.261904761904762 0.642857142857143 0.228637413394919 0.37218045112782
5 1 15 14 10 33 15 3 2 1 1 1 0.428571428571429 0.121212121212121 0.104347826086957 0.188976377952756 0.705627705627706 0.135281385281385 0.128054452209764 0.227035941321656
5 1 16 14 10 19 11 3 2 1 1 1 0.428571428571429 0.315789473684211 0.222222222222222 0.363636363636364 0.631578947368421 0.340225563909774 0.283884459547772 0.442227425430113
5 1 17 14 10 22 11 2 1 1 0 1 0.357142857142857 0.227272727272727 0.161290322580645 0.277777777777778 0.425324675324675 0.227272727272727 0.173878417839129 0.296246042514699
5 1 18 14 10 16 8 3 1 1 1 1 0.428571428571429 0.375 0.25 0.4 0.462053571428571 0.404017857142857 0.274771372206781 0.431091218703976
5 1 19 14 10 18 10 2 1 1 1 1 0.285714285714286 0.222222222222222 0.142857142857143 0.25 0.319444444444444 0.248015873015873 0.162273522605407 0.279234654234654
5 1 20 14 10 25 14 3 1 1 1 1 0.428571428571429 0.4 0.260869565217391 0.413793103448276 0.462857142857143 0.418571428571429 0.281724080624866 0.43960175966659
5 1 21 14 10 31 15 3 0 2 1 1 0.428571428571429 0.258064516129032 0.192 0.322147651006711 0.428571428571429 0.288018433179723 0.208102108768035 0.344510794671566
5 1 22 14 10 11 6 3 2 1 1 1 0.428571428571429 0.363636363636364 0.244897959183674 0.39344262295082 0.688311688311688 0.405844155844156 0.34283792175533 0.510616979459709
5 1 23 14 10 4 4 1 1 1 0 1 0.142857142857143 0.25 0.1 0.181818181818182 0.196428571428571 0.25 0.123595505617978 0.22
5 1 24 14 10 14 8 3 1 2 0 2 0.5 0.357142857142857 0.263157894736842 0.416666666666667 0.533163265306122 0.357142857142857 0.272064566519136 0.427752762996316
5 1 25 14 10 5 3 1 0 1 0 1 0.142857142857143 0.6 0.130434782608696 0.230769230769231 0.142857142857143 0.6 0.130434782608696 0.230769230769231
5 1 26 14 10 14 7 3 3 1 2 1 0.285714285714286 0.214285714285714 0.13953488372093 0.244897959183673 0.683673469387755 0.346938775510204 0.298950131233596 0.460295009092746
5 1 27 14 10 8 5 1 0 1 0 1 0.142857142857143 0.375 0.115384615384615 0.206896551724138 0.142857142857143 0.375 0.115384615384615 0.206896551724138
5 1 28 14 10 8 4 1 0 1 0 1 0.142857142857143 0.375 0.115384615384615 0.206896551724138 0.142857142857143 0.375 0.115384615384615 0.206896551724138
5 1 29 14 10 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 30 14 10 12 8 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 31 14 10 16 12 1 0 1 1 1 0.0714285714285714 0.125 0.0476190476190476 0.0909090909090909 0.0714285714285714 0.183035714285714 0.0541611624834875 0.102756892230576
5 1 32 14 10 10 7 1 0 1 1 1 0.0714285714285714 0.3 0.0612244897959184 0.115384615384615 0.0714285714285714 0.439285714285714 0.0654603512506652 0.122877122877123
5 1 33 14 10 6 6 1 1 1 1 1 0.0714285714285714 0.166666666666667 0.0526315789473684 0.1 0.101190476190476 0.244047619047619 0.0770421134077595 0.143062397372742
5 1 34 14 10 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 35 14 10 22 10 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 36 14 10 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 37 14 10 8 4 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 38 14 10 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 39 14 10 13 7 1 0 1 1 1 0.0714285714285714 0.153846153846154 0.0512820512820513 0.0975609756097561 0.0714285714285714 0.225274725274725 0.0573426573426573 0.108465608465608
5 1 40 14 10 7 4 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 41 14 10 10 7 2 2 1 2 1 0.142857142857143 0.2 0.0909090909090909 0.166666666666667 0.271428571428571 0.385714285714286 0.189508681196897 0.318633540372671
5 1 42 14 10 9 4 1 1 1 1 1 0.0714285714285714 0.111111111111111 0.0454545454545455 0.0869565217391304 0.103174603174603 0.162698412698413 0.0673915792135542 0.126273394930111
5 1 43 14 10 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 44 14 10 5 5 1 1 1 1 1 0.0714285714285714 0.2 0.0555555555555555 0.105263157894737 0.1 0.292857142857143 0.0805500982318271 0.149090909090909
5 1 45 14 10 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 46 14 10 4 4 1 1 1 1 1 0.0714285714285714 0.25 0.0588235294117647 0.111111111111111 0.0982142857142857 0.366071428571429 0.0839382095663503 0.154876373626374
5 1 47 14 10 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 48 14 10 7 7 1 1 1 0 1 0.214285714285714 0.142857142857143 0.09375 0.171428571428571 0.306122448979592 0.142857142857143 0.107913669064748 0.194805194805195
5 1 49 14 10 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 50 14 10 13 12 2 2 1 1 1 0.285714285714286 0.153846153846154 0.111111111111111 0.2 0.549450549450549 0.18956043956044 0.164059156403062 0.281874259569427
5 1 51 14 10 8 8 2 2 1 1 1 0.285714285714286 0.25 0.153846153846154 0.266666666666667 0.535714285714286 0.308035714285714 0.243128964059197 0.391156462585034
5 1 52 14 10 18 13 1 1 1 1 1 0.0714285714285714 0.0555555555555556 0.032258064516129 0.0625 0.10515873015873 0.0813492063492063 0.0480720306174369 0.0917342114150625
5 1 53 14 10 8 5 1 1 1 0 1 0.214285714285714 0.125 0.0857142857142857 0.157894736842105 0.308035714285714 0.125 0.0975954738330976 0.177835051546392
5 1 54 14 10 33 21 2 1 1 1 1 0.285714285714286 0.0909090909090909 0.0740740740740741 0.137931034482759 0.38961038961039 0.119047619047619 0.100334448160535 0.182370820668693
5 1 55 14 10 16 8 2 2 1 1 1 0.285714285714286 0.125 0.0952380952380952 0.173913043478261 0.553571428571429 0.154017857142857 0.137001216934606 0.240986931050023
5 1 56 14 10 7 6 2 1 1 1 1 0.285714285714286 0.428571428571429 0.206896551724138 0.342857142857143 0.377551020408163 0.561224489795918 0.291505514969202 0.451419698314108
5 1 57 14 10 7 6 1 1 1 1 1 0.0714285714285714 0.142857142857143 0.05 0.0952380952380952 0.102040816326531 0.209183673469388 0.0736350574712644 0.13716962194714
5 1 58 14 10 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 59 14 10 17 8 1 0 1 1 1 0.0714285714285714 0.117647058823529 0.0465116279069767 0.0888888888888889 0.0714285714285714 0.172268907563025 0.053177691309987 0.100985221674877
5 1 60 14 10 9 6 1 0 1 1 1 0.0714285714285714 0.333333333333333 0.0625 0.117647058823529 0.0714285714285714 0.488095238095238 0.06645056726094 0.124620060790274
5 1 61 14 10 111 24 3 0 1 2 1 0.357142857142857 0.153153153153153 0.120056497175141 0.21437578814628 0.357142857142857 0.278635778635779 0.185566126682095 0.313042220936958
5 1 62 14 10 102 36 3 2 1 1 1 0.428571428571429 0.117647058823529 0.101694915254237 0.184615384615385 0.640756302521008 0.122198879551821 0.114363653749252 0.205253739862168
5 1 63 14 10 135 33 4 0 2 2 1 0.5 0.103703703703704 0.0939597315436242 0.171779141104294 0.5 0.138095238095238 0.121338912133891 0.216417910447761
5 1 64 14 10 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 65 14 10 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 66 14 10 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 67 14 10 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 68 14 10 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 69 14 10 13 10 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 70 14 10 17 9 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 71 14 10 18 7 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 72 14 10 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 73 14 10 30 15 2 2 1 0 1 0.357142857142857 0.0666666666666667 0.0595238095238095 0.112359550561798 0.702380952380952 0.0666666666666667 0.0648351648351648 0.121775025799794
5 1 74 14 10 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 75 14 10 20 12 1 0 1 0 1 0.214285714285714 0.15 0.0967741935483871 0.176470588235294 0.214285714285714 0.15 0.0967741935483871 0.176470588235294
5 1 76 14 10 16 8 2 2 1 2 1 0.142857142857143 0.125 0.0714285714285714 0.133333333333333 0.276785714285714 0.241071428571429 0.147905990457678 0.257697044334975
5 1 77 14 10 17 9 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 78 14 10 12 7 2 1 1 2 1 0.142857142857143 0.333333333333333 0.111111111111111 0.2 0.175595238095238 0.642857142857143 0.159987948177162 0.275844155844156
5 1 79 14 10 8 7 1 1 1 1 1 0.0714285714285714 0.125 0.0476190476190476 0.0909090909090909 0.102678571428571 0.183035714285714 0.0704099156275667 0.131556919642857
5 1 80 14 10 10 7 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 81 14 10 13 12 3 3 1 2 1 0.285714285714286 0.230769230769231 0.146341463414634 0.25531914893617 0.681318681318681 0.373626373626374 0.318044659022329 0.482600732600733
5 1 82 14 10 15 13 1 1 1 1 1 0.0714285714285714 0.0666666666666667 0.0357142857142857 0.0689655172413793 0.104761904761905 0.0976190476190476 0.0532216190700968 0.101064425770308
5 1 83 14 10 76 31 4 2 1 3 1 0.428571428571429 0.144736842105263 0.121323529411765 0.216393442622951 0.569548872180451 0.30968045112782 0.250946656696347 0.401210803599056
5 1 84 14 10 25 9 1 1 1 0 1 0.142857142857143 0.04 0.032258064516129 0.0625 0.211428571428571 0.04 0.0348071495766698 0.0672727272727273
5 2 3 5 5 12 7 2 1 1 2 1 0.4 0.416666666666667 0.256410256410256 0.408163265306122 0.491666666666667 0.75 0.422434367541766 0.593959731543624
5 2 4 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2 5 5 5 15 9 3 0 1 3 1 0.6 0.6 0.428571428571429 0.6 0.6 1 0.6 0.75
5 2 6 5 5 10 6 2 1 1 2 1 0.4 0.3 0.206896551724138 0.342857142857143 0.49 0.54 0.34570159393781 0.51378640776699
5 2 7 5 5 15 9 3 1 1 3 1 0.6 0.533333333333333 0.39344262295082 0.564705882352941 0.693333333333333 1 0.693333333333334 0.818897637795276
5 2 8 5 5 6 4 3 1 2 3 1 0.6 0.833333333333333 0.535714285714286 0.697674418604651 0.641666666666667 1 0.641666666666667 0.781725888324873
5 2 9 5 5 7 4 3 2 1 3 1 0.6 0.714285714285714 0.483870967741936 0.652173913043478 0.942857142857143 1 0.942857142857143 0.970588235294118
5 2 10 5 5 4 4 1 1 1 1 1 0.2 0.25 0.125 0.222222222222222 0.275 0.35 0.182033096926714 0.308
5 2 11 5 5 4 4 2 2 1 2 1 0.4 0.5 0.285714285714286 0.444444444444444 0.7 0.9 0.649484536082474 0.7875
5 2 12 5 5 10 6 3 2 1 3 1 0.6 0.6 0.428571428571429 0.6 0.96 1 0.96 0.979591836734694
5 2 13 5 5 9 7 0 0 0 0 0 0 0 0 0 0 0 0 0
