ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
1,0,59.9995632369,60.0039669931,84.8540444127,247.387658205,247.39800176,339.410904982,780.019928372,720.018812364,782.32598393,722.515585865,758.965429052,1021.79590887,1047.88411284,976.86895767,1035.90376658,989.681675721,1047.9909552,1021.90890671,759.068177891,722.638852783,1102.15872336,1060.54705124,1060.62777946,1017.30673058,1247.43857821,1247.7873446,1441.57695346,5346.45852829,5305.17976274,5303.24515327,5261.61929739,5482.49471576,5473.1332246,5685.79465021,6049.80608716,6011.65624607,6003.76578352,5965.32160905,6199.35692831,6160.97805609,6387.84518871,6076.92674569,6040.64854608,6029.38660614,5992.82929272,6234.06498946,6179.31768666,6413.5442622,6703.84788433,6660.79697095,6662.33379765,6619.01208627,6830.64925899,6838.15458199,7043.21465913,1559.69712418,1619.26643035,1568.12064149,1627.38936597,1608.91249478,1331.73013229,1309.08663749,2335.84816495,2276.04520506,2341.47827736,2281.83310459,2268.69252695,2580.24578919,2568.63327344,1788.07360716,1827.28104822,1742.59108738,1782.80618075,2013.27658726,1594.23901663,1848.37411705,2689.17855681,2745.21148408,2668.07685316,2724.54610513,2839.08356794,2443.91386212,2570.98532412
2,59.9995632369,0,84.8502239977,59.9922336482,240.011093743,305.949815316,384.194112045,720.020366213,660.01925027,722.516915305,662.741012286,702.304773998,961.905653768,989.577534707,989.669886232,1047.98343501,1005.9046493,1063.32402617,1020.1322065,780.105183416,720.128773072,1060.61543825,1017.30616024,1020.92216279,975.840878756,1198.93878913,1214.21543049,1399.81768591,5344.15183599,5303.36603927,5300.47246879,5259.33990871,5482.46943319,5468.46503197,5683.38699471,6040.58383911,6001.98049531,5994.92467413,5956.02549668,6188.22338339,6153.90382975,6378.89901036,6081.14838113,6045.34375278,6033.24863677,5997.16667962,6240.13426512,6181.33295692,6417.33302921,6701.19860164,6657.77454323,6660.07485356,6616.38011566,6826.11443558,6837.34061381,7040.50036199,1546.10156798,1605.36610546,1556.75704342,1615.63824073,1586.47917689,1322.26677234,1286.47500581,2319.52109857,2259.86120161,2326.63432033,2267.17181391,2246.48556503,2564.75728187,2546.49062713,1808.42277008,1849.01508399,1764.20201252,1805.79552322,2030.46512649,1609.51045862,1858.06869151,2689.88312919,2745.42830085,2667.5285948,2723.5321537,2844.01936185,2445.44150941,2578.95513765
3,60.0039669931,84.8502239977,0,60.0023146992,305.9468938,240.005367266,384.187349301,782.328186296,722.518758443,780.025163384,720.023644749,780.023308701,1020.03641827,1063.23633626,917.957747106,976.867111293,931.58087166,989.675607114,962.015316291,702.396347265,662.861493025,1060.5394035,1020.75951856,1017.31040334,975.757620029,1213.79362508,1199.23321073,1399.76196295,5286.51314095,5245.21461016,5243.32246538,5201.67295195,5422.49175988,5413.33925908,5625.85287203,5990.56748627,5952.49318375,5944.4671744,5906.09578921,6140.45792399,6101.43108886,6328.55978258,6017.05318924,5980.80822455,5969.4901323,5932.96327444,6174.3438455,6119.33895594,6353.64440845,6643.91517308,6600.88381174,6602.38332491,6559.07870515,6770.83848126,6778.160241,6983.28449052,1501.58952644,1561.22531522,1509.47695067,1568.82071834,1553.83145392,1272.7471559,1254.22428769,2278.3767584,2218.53820791,2283.5798642,2223.8915587,2213.3430764,2522.50314614,2513.20931062,1731.42451702,1771.152719,1686.40545066,1727.17651877,1955.61904781,1536.01108181,1789.03355505,2629.17460522,2685.20910468,2608.08548671,2664.56582979,2779.23819688,2383.91534704,2511.43638823
4,84.8540444127,59.9922336482,60.0023146992,0,300.003327391,300.007681957,424.264949302,722.517211873,662.742407248,720.022848691,660.021330053,725.003465373,960.034103579,1005.81441033,931.581051719,989.680117429,948.810256156,1005.91043102,960.139972984,725.091878658,660.13653965,1017.30471721,975.763376782,975.851099247,932.452731683,1163.89744123,1164.27055072,1356.72293033,5284.19199847,5243.3918884,5240.52977012,5199.37900366,5422.47802477,5408.63103928,5623.43125895,5981.26516046,5942.73233098,5935.54902776,5896.71756321,6129.22849625,6094.29915471,6319.54095336,6021.32878361,5985.56236702,5973.40285821,5937.3563805,6180.4837985,6121.38587449,6357.48083554,6641.25366163,6597.84559747,6600.11556284,6556.43435641,6766.27514177,6777.35083886,6980.55856218,1487.47410666,1546.8146016,1497.67980533,1556.63881665,1530.60120631,1262.85343861,1230.61521705,2261.64560119,2201.94235985,2268.36796938,2208.85664965,2190.58517823,2506.66870406,2490.58404133,1752.44378438,1793.57915637,1708.73926087,1750.90851022,1973.32210599,1551.86794803,1799.06020675,2629.90721228,2685.44269999,2607.53651974,2663.54092419,2784.29217938,2385.49342954,2519.60675253
5,247.387658205,240.011093743,305.9468938,300.003327391,0,424.282263101,300.007869735,758.961064741,702.294068745,780.017088406,724.996952135,660.014803895,1005.81046941,960.02440841,1223.90463959,1282.7968242,1237.0693331,1295.35907278,1260.14329977,1005.90787103,960.139866109,1247.78023403,1199.23430299,1214.22177509,1164.26600698,1356.72470799,1421.82200433,1583.27018331,5584.04024355,5543.30867384,5540.29606473,5499.23246232,5722.47740495,5707.87619214,5923.25942177,6278.02810333,6239.156846,6232.58693814,6193.43057913,6424.42894652,6392.43680915,6616.48720491,6320.50163779,6284.55160695,6272.7018818,6236.48496378,6478.84131519,6421.17189815,6656.80916866,6941.02861322,6897.54339101,6899.95984027,6856.21336304,7065.53952115,7077.34227681,7280.3179452,1781.56159143,1840.5414861,1793.71500422,1852.31528576,1812.6626141,1560.40490186,1513.12134639,2552.04158117,2492.55829728,2560.53787189,2501.2667952,2472.04563838,2797.95588372,2771.86521637,2034.66792372,2073.33715661,1988.7245782,2028.27711934,2260.55503951,1841.62330102,2094.70342274,2929.83565507,2985.41554261,2907.5391222,2963.53963011,3083.0731316,2685.2957292,2816.66344966
6,247.39800176,305.949815316,240.005367266,300.007681957,424.282263101,0,300.008097274,1021.79284831,961.901975459,1020.03053055,960.029011946,1005.81434158,1260.04178545,1295.26270114,902.139737055,962.016781968,900.138023876,960.136857529,1005.92587577,660.12865259,725.122803661,1247.42724822,1213.78952091,1198.93804572,1163.88764163,1421.20921612,1356.71930654,1582.99288063,5302.57673753,5259.34431988,5261.32091864,5217.73845857,5429.17741878,5438.75008456,5641.90902011,6033.598053,5997.37846786,5986.01910342,5949.50999549,6190.98458434,6135.74130261,6370.15643856,6005.91350132,5967.78528924,5959.85304568,5921.43703703,6155.5700669,6117.02838958,6343.94874554,6659.95382029,6618.45986708,6616.88509239,6575.11853673,6794.35724246,6786.6991646,6999.31842002,1579.72349739,1639.68526765,1578.73748216,1638.74398543,1665.228741,1338.73895179,1371.03134914,2359.41071232,2299.42120793,2358.74780107,2298.75126684,2317.70637241,2598.75646128,2615.53914573,1666.40660377,1699.76433619,1616.36985028,1650.74699778,1902.16189352,1495.14780529,1768.82014189,2639.91057181,2697.64881195,2624.03173872,2682.11361782,2771.9439734,2392.68234987,2492.96503072
7,339.410904982,384.194112045,384.187349301,424.264949302,300.007869735,300.008097274,0,1047.87653894,989.564898378,1063.22643445,1005.80441328,960.022673615,1295.25635442,1260.03227813,1201.64805773,1261.57855765,1200.14612058,1260.14495426,1295.36965259,960.13674904,1005.92834287,1441.56950763,1399.76228542,1399.82243414,1356.71749696,1582.99750926,1583.26963006,1780.98778337,5601.44490394,5558.40439594,5559.97034128,5516.59805067,5728.82998744,5736.4282561,5940.80872218,6327.91121174,6291.23275313,6280.67455654,6243.7187306,6483.37778515,6431.96234955,6664.85200544,6305.82182293,6267.6266768,6259.80401816,6221.33514066,6455.08328113,6417.02206979,6643.89087082,6958.92739196,6917.26871286,6916.0064946,6874.08690071,7092.44093917,7086.29901128,7298.31149472,1859.27860505,1919.2534971,1861.93153928,1921.83199227,1927.69301929,1622.43421,1629.3724448,2639.07360237,2579.07914213,2640.94064417,2580.99982082,2585.36707698,2880.75021418,2884.66454244,1961.05450586,1992.73912549,1909.94659627,1942.47322228,2198.71340531,1794.08957243,2068.79201118,2938.82154061,2996.40323082,2922.34471368,2980.24661729,3071.92950279,2691.68718926,2792.86004295
8,780.019928372,720.020366213,782.328186296,722.517211873,758.961064741,1021.79284831,1047.87653894,0,60.0011161144,60.0042999156,84.8534220836,247.387078763,247.399124013,339.420119814,1357.73433636,1400.81122548,1400.80445962,1442.59044058,1248.61967464,1248.58637404,1018.31291397,780.08568682,720.08998206,782.501081549,722.699233635,758.586142491,1021.93645411,1047.61835942,5369.09458473,5334.59726784,5320.27457733,5285.45111061,5533.29306207,5463.91232908,5704.00237686,5976.11294513,5932.29662689,5935.43695369,5891.31814442,6099.37676908,6114.60901581,6315.31190909,6177.3508947,6147.39797591,6125.55992326,6095.36072361,6356.98146169,6250.69543767,6506.07344222,6711.43911824,6663.81357862,6675.25060646,6627.36429823,6812.9438847,6868.71294938,7047.94503305,1563.89615514,1612.87807844,1599.82033801,1647.73842032,1489.54285205,1417.3892885,1229.9129902,2242.83525063,2188.21444846,2268.02804954,2214.03815965,2098.96641079,2486.76922651,2384.89479049,2170.42926644,2222.56986693,2141.01762385,2193.86162277,2349.2703031,1933.83700115,2108.50017236,2800.59750209,2848.52115299,2764.59620264,2813.13703634,2997.91600061,2575.29462204,2775.9522972
9,720.018812364,660.01925027,722.518758443,662.742407248,702.294068745,961.901975459,989.564898378,60.0011161144,0,84.8601313111,60.0042742726,239.997244941,305.95577903,384.195459017,1315.99772157,1360.39682515,1357.74062386,1400.81196073,1215.01441624,1200.07197461,976.815230278,782.28453803,722.471716977,780.092081922,720.089671262,779.544766575,1020.0936987,1062.89350852,5363.334152,5328.29110016,5314.90731422,5279.53527,5525.49755266,5460.67129917,5698.81810549,5978.20507333,5934.80365427,5937.08711482,5893.38292524,6103.59099512,6114.66011504,6317.50603201,6166.18528226,6135.73629762,6114.68745939,6083.98900152,6344.21035462,6241.77748837,6495.68143034,6707.63933053,6660.34257549,6671.02408032,6623.46514668,6811.14021089,6863.22393964,7044.51901574,1549.70020071,1599.92900832,1583.82730654,1633.01081528,1484.58641866,1395.59491912,1218.58745858,2240.50952287,2185.23609858,2264.24566592,2209.57551728,2102.25963764,2485.41152666,2390.51226434,2133.34158187,2184.83051023,2102.79361543,2155.0170056,2315.84329231,1898.51816761,2079.28071539,2784.44106874,2833.09674376,2749.44968807,2798.71746227,2978.75856554,2556.99675383,2752.89371729
10,782.32598393,722.516915305,780.025163384,720.022848691,780.017088406,1020.03053055,1063.22643445,60.0042999156,84.8601313111,0,60.0015187415,305.946413621,240.011254902,384.198218488,1315.98617706,1357.73650392,1360.37880336,1400.80125563,1200.09492097,1214.96850848,976.801366815,720.081497153,660.085810969,722.697343172,662.931752346,701.880423824,962.047467549,989.28494546,5309.40443193,5274.96624331,5260.54549284,5225.77781712,5473.84682737,5404.01578152,5644.25360471,5916.13551391,5872.33305749,5875.44782165,5831.33977202,6039.50164779,6054.60523445,6255.33813513,6118.46034581,6088.60715208,6066.61323149,6036.51184609,6298.42627051,6191.40822246,6447.03350054,6651.57439479,6603.9273433,6615.41681352,6567.50672933,6752.97571126,6808.98761203,6988.05500757,1505.94971648,1554.5975435,1542.38172369,1589.91882968,1429.8690525,1362.1202508,1171.34659697,2182.91500337,2128.33425191,2208.20339301,2154.2727549,2039.01292556,2426.80210122,2325.09309763,2124.00427558,2176.66043247,2095.54377295,2148.90154096,2300.05240045,1886.12376446,2056.67964165,2743.03204029,2790.74093202,2706.74491128,2755.08608633,2941.30454544,2518.4282602,2720.89365912
