"p" "s1" "s2" "n" "nsp1" "m" "nsp2" "nsh" "fm1" "fm2" "f1m" "f2m" "u_pt1" "v_pt1" "Junad" "Lunad" "U" "V" "Jabd" "Labd"
6 1 57 82 32 28 8 6 3 1 0 3 0.390243902439024 0.857142857142857 0.366412213740458 0.536312849162011 0.707752613240418 0.857142857142857 0.63307577430037 0.775317084807761
6 1 58 82 32 23 5 4 2 1 0 2 0.24390243902439 0.956521739130435 0.241228070175439 0.3886925795053 0.337221633085896 0.956521739130435 0.332130649449297 0.498645759087669
6 1 59 82 32 14 5 5 2 2 0 2 0.329268292682927 1 0.329268292682927 0.495412844036697 0.40287456445993 1 0.40287456445993 0.57435579012729
6 1 60 82 32 9 4 3 2 1 1 1 0.25609756097561 0.888888888888889 0.248153618906942 0.397633136094675 0.375338753387534 0.943766937669377 0.367128279536643 0.537079489952578
6 1 61 82 32 110 19 10 4 1 3 3 0.463414634146341 0.890909090909091 0.438530381535563 0.609692206941716 0.777605321507761 0.904379157427938 0.718529992851332 0.836214667000568
6 1 62 82 32 79 17 9 2 2 0 4 0.48780487804878 0.79746835443038 0.434033758181192 0.605332692769637 0.517906761346094 0.79746835443038 0.457704084505212 0.627979422395006
6 1 63 82 32 140 28 15 5 1 3 6 0.658536585365854 0.828571428571429 0.579570688378979 0.733833177132146 0.870426829268293 0.833863240418118 0.741785248577144 0.851752819910612
6 1 64 82 32 36 11 7 2 1 1 1 0.439024390243902 0.777777777777778 0.390092879256966 0.561247216035635 0.486449864498645 0.7914972899729 0.431194598883515 0.602565995176188
6 1 65 82 32 52 17 8 4 1 1 2 0.5 0.692307692307692 0.409090909090909 0.580645161290323 0.978424015009381 0.697056754221388 0.686504265244891 0.81411506557347
6 1 66 82 32 24 12 7 3 2 0 3 0.426829268292683 0.708333333333333 0.363026235509457 0.532676812891674 0.549542682926829 0.708333333333333 0.448137179627802 0.618915370632196
6 1 67 82 32 26 14 8 5 1 1 3 0.48780487804878 0.653846153846154 0.387685290763968 0.558751027115859 1 0.666510318949343 0.666510318949343 0.799887419082466
6 1 68 82 32 64 20 10 1 2 0 4 0.585365853658537 0.625 0.433212996389892 0.604534005037783 0.591368140243902 0.625 0.43649175117087 0.607719119605232
6 1 69 82 32 161 37 17 6 2 3 6 0.780487804878049 0.745341614906832 0.61617458279846 0.762509928514694 1 0.754544765944554 0.754544765944554 0.860103179571308
6 1 70 82 32 161 29 14 5 1 3 4 0.646341463414634 0.745341614906832 0.529426454674103 0.692320252544495 1 0.754544765944554 0.754544765944554 0.860103179571308
6 1 71 82 32 47 21 11 7 1 2 4 0.536585365853659 0.574468085106383 0.383968972204266 0.554880896777207 1 0.590230928905034 0.590230928905034 0.742321027942076
6 1 72 82 32 21 10 5 3 1 0 3 0.317073170731707 0.666666666666667 0.273684210526316 0.429752066115702 0.700348432055749 0.666666666666667 0.518709677419355 0.683092608326253
6 1 73 82 32 24 12 8 5 1 1 3 0.451219512195122 0.625 0.355086372360845 0.524079320113314 0.977134146341464 0.631859756097561 0.622653138464098 0.767450693810586
6 1 74 82 32 46 13 7 1 2 0 3 0.390243902439024 0.608695652173913 0.311977715877437 0.475583864118896 0.399191410392365 0.608695652173913 0.317669973138838 0.482169252718285
6 1 75 82 32 31 13 7 3 1 1 1 0.48780487804878 0.548387096774194 0.348004094165814 0.516324981017464 0.647128245476003 0.564319433516916 0.431530228617057 0.602893630872107
6 1 76 82 32 80 23 13 4 4 1 4 0.695121951219512 0.6625 0.513338997451147 0.678419043341567 0.773399390243902 0.664043445121951 0.555889531689568 0.714561696531139
6 1 77 82 32 41 19 11 6 2 2 3 0.5 0.658536585365854 0.397058823529412 0.568421052631579 0.732004759071981 0.674598453301606 0.54098659054893 0.702130172795624
6 1 78 82 32 92 20 12 7 1 2 4 0.609756097560976 0.771739130434783 0.516589057043073 0.681251199385914 1 0.777107635206787 0.777107635206787 0.874575765486891
6 1 79 82 32 163 38 14 3 1 1 6 0.634146341463415 0.638036809815951 0.466367713004484 0.636085626911315 0.870492293879994 0.63854182253479 0.583143633684948 0.736690747797298
6 1 80 82 32 65 16 9 5 1 1 4 0.463414634146341 0.615384615384615 0.359338061465721 0.528695652173913 1 0.617284240150094 0.617284240150094 0.763359000014501
6 1 81 82 32 32 13 5 3 1 1 1 0.280487804878049 0.4375 0.206145966709347 0.341825902335456 0.40453506097561 0.452934451219512 0.271754002193582 0.427368817750678
6 1 82 82 32 114 25 9 3 1 1 3 0.524390243902439 0.824561403508772 0.471755368814192 0.641078509119746 0.687580231065469 0.826005562687206 0.600592906793937 0.750463036846705
6 1 83 82 32 215 32 14 3 2 2 5 0.670731707317073 0.623255813953488 0.477238878456259 0.646122824705212 0.716250709018718 0.625093590470788 0.501022180274706 0.667574652605084
6 1 84 82 32 90 22 10 3 2 0 2 0.609756097560976 0.555555555555556 0.409836065573771 0.581395348837209 0.682113821138211 0.555555555555556 0.441300231432779 0.612364061017444
6 2 3 348 42 127 44 25 8 6 4 4 0.801724137931034 0.795275590551181 0.664567709070327 0.798486844901602 0.834034754276405 0.818829758349172 0.704103432736794 0.826362319575875
6 2 4 348 42 6 4 3 2 1 0 1 0.0316091954022989 0.833333333333333 0.0314106225014278 0.0609080841638981 0.0459770114942529 0.833333333333333 0.0455580865603645 0.0871459694989107
6 2 5 348 42 50 20 12 6 3 2 1 0.333333333333333 0.74 0.298387096774194 0.459627329192547 0.400919540229885 0.859655172413793 0.376290227462227 0.546818134654748
6 2 6 348 42 125 38 26 11 3 6 1 0.916666666666667 0.864 0.801078894133513 0.889554473979783 1 1 1 1
6 2 7 348 42 152 42 27 9 7 7 4 0.78448275862069 0.835526315789474 0.67954371729288 0.809200392101947 0.843207155820586 0.89866672338173 0.769996167096131 0.870054050297061
6 2 8 348 42 81 21 13 5 2 1 1 0.459770114942529 0.888888888888889 0.434782608695652 0.606060606060606 0.679721867461331 0.901199091812119 0.632582009487859 0.774946686673707
6 2 9 348 42 76 23 16 4 4 3 1 0.629310344827586 0.855263157894737 0.568740261296896 0.725091687041565 0.721472323049002 0.953663793103448 0.69703794543642 0.821475969127097
6 2 10 348 42 43 16 12 5 2 1 1 0.454022988505747 0.86046511627907 0.422887731481481 0.594407727503813 0.545241913926758 0.883654103180968 0.508721311064789 0.674374130376346
6 2 11 348 42 36 18 12 7 2 3 1 0.436781609195402 0.805555555555556 0.395123700250986 0.566435363659728 0.739902618135377 0.930196360153257 0.70098156406131 0.82420830286676
6 2 12 348 42 36 18 12 7 2 3 1 0.436781609195402 0.805555555555556 0.395123700250986 0.566435363659728 0.739902618135377 0.930196360153257 0.70098156406131 0.82420830286676
6 2 13 348 42 68 18 17 6 1 5 1 0.482758620689655 0.985294117647059 0.479305058763413 0.648013816925734 0.695106490872211 1 0.695106490872211 0.820133123924912
6 2 14 348 42 67 18 12 5 1 2 1 0.583333333333333 0.761194029850746 0.493093922651934 0.66049953746531 1 0.790958998112884 0.790958998112884 0.883279850567556
6 2 15 348 42 96 30 19 7 3 4 1 0.709770114942529 0.791666666666667 0.598062953995157 0.748484848484848 0.971858037994891 0.916307471264368 0.89262315150602 0.943265594945018
6 2 16 348 42 46 24 12 7 3 2 1 0.416666666666667 0.630434782608696 0.334872979214781 0.501730103806228 0.675755872063968 0.673788105947027 0.509172624146845 0.674770554408495
6 2 17 348 42 65 28 16 10 3 3 2 0.709770114942529 0.692307692307692 0.539563106796116 0.700930159230648 1 0.738328912466844 0.738328912466844 0.84946974898909
6 2 18 348 42 77 31 16 5 3 2 2 0.57183908045977 0.649350649350649 0.436920915118781 0.60813495095193 0.704197143852316 0.662300343334826 0.518149245558286 0.682606465832338
6 2 19 348 42 119 32 21 11 1 6 1 0.681034482758621 0.857142857142857 0.611612903225806 0.759007205764612 1 1 1 1
6 2 20 348 42 69 29 15 7 5 3 2 0.468390804597701 0.63768115942029 0.36993861866199 0.540080575322866 0.630942861902382 0.691872813593203 0.492542433198108 0.660004596509495
6 2 21 348 42 62 23 17 8 5 3 3 0.646551724137931 0.741935483870968 0.527845777233782 0.690967354296014 0.9224879495736 0.798224879495736 0.748052373993954 0.855869520985578
6 2 22 348 42 77 20 16 6 3 5 1 0.600574712643678 0.922077922077922 0.571566135120561 0.727384132741845 0.733878190774743 1 0.733878190774743 0.84651643313747
6 2 23 348 42 207 31 20 5 5 4 2 0.545977011494253 0.884057971014493 0.509495340249692 0.675053876172171 0.573143983563774 0.917777222499861 0.545151844206291 0.705628830267258
6 2 24 348 42 187 33 19 4 3 2 2 0.718390804597701 0.882352941176471 0.655594405594406 0.791974656810982 0.872733419386563 0.893017395045793 0.790123906932265 0.882758901629665
6 2 25 348 42 225 44 24 6 4 3 4 0.778735632183908 0.853333333333333 0.686809487981626 0.814329647627767 0.834521072796935 0.864966475095785 0.738330904553841 0.849471067470138
6 2 26 348 42 293 36 22 3 2 5 2 0.704022988505747 0.928327645051194 0.667728780272743 0.800764234773884 0.71476207288847 1 0.71476207288847 0.833657431767747
6 2 27 348 42 172 35 23 7 5 4 2 0.732758620689655 0.848837209302326 0.648177164943069 0.786538217771581 0.892742582197273 0.895215183106121 0.808280942384518 0.89397717294821
6 2 28 348 42 212 32 22 4 2 4 2 0.735632183908046 0.94811320754717 0.707162882744214 0.82846562550314 0.944412817176318 1 0.944412817176318 0.971411840977058
6 2 29 348 42 38 23 11 5 3 2 1 0.488505747126437 0.631578947368421 0.380171449869549 0.550904671887659 0.549127848356524 0.71029945553539 0.448646475713212 0.619400914211771
6 2 30 348 42 75 29 12 4 1 2 1 0.497126436781609 0.573333333333333 0.362878048780488 0.532517269766277 0.843026819923372 0.66639846743295 0.592836552228318 0.744378387599107
6 2 31 348 42 57 23 12 6 1 1 1 0.497126436781609 0.701754385964912 0.410414566158591 0.581977208696018 1 0.771728171002218 0.771728171002218 0.871158661506943
6 2 32 348 42 104 30 13 3 3 3 1 0.494252873563218 0.663461538461538 0.395178476291955 0.566491646778043 0.508482537577365 0.807277851458886 0.453439320148426 0.62395356154548
6 2 33 348 42 57 25 14 8 2 5 1 0.35632183908046 0.526315789473684 0.269799825935596 0.424948594928033 0.457955232909861 0.744983867715265 0.395893711788427 0.567226155465957
6 2 34 348 42 94 30 16 6 4 4 1 0.640804597701149 0.680851063829787 0.492783647538154 0.660221122264884 0.762342565419418 0.808143800440205 0.64551537058578 0.784575315581507
6 2 35 348 42 146 38 16 6 1 1 1 0.681034482758621 0.678082191780822 0.514641047575179 0.679555130767226 0.963568729333963 0.708815540859707 0.690315508717019 0.816788942841779
6 2 36 348 42 3 1 1 0 1 0 1 0.0804597701149425 1 0.0804597701149425 0.148936170212766 0.0804597701149425 1 0.0804597701149425 0.148936170212766
6 2 37 348 42 16 5 3 0 1 1 1 0.114942528735632 0.8125 0.111972437553833 0.201394268009295 0.114942528735632 0.999461206896552 0.114935406920908 0.206174108755453
6 2 38 348 42 19 8 5 3 1 1 1 0.293103448275862 0.789473684210526 0.271855010660981 0.427493713327745 0.550362976406534 0.815713853599516 0.489499554986155 0.657267138278138
6 2 39 348 42 19 10 5 0 3 1 1 0.255747126436782 0.684210526315789 0.22874654013444 0.372325020112631 0.255747126436782 0.736690865093769 0.234327374778182 0.379684319681062
6 2 40 348 42 30 15 7 4 1 4 1 0.109195402298851 0.7 0.104313725490196 0.188920454545455 0.153639846743295 1 0.153639846743295 0.266356692128861
6 2 41 348 42 14 11 5 3 1 2 1 0.129310344827586 0.571428571428571 0.117878192534381 0.210896309314587 0.153325123152709 0.713875205254516 0.144448273319881 0.252433031159822
6 2 42 348 42 5 2 1 0 1 0 1 0.0804597701149425 0.8 0.0788732394366197 0.14621409921671 0.0804597701149425 0.8 0.0788732394366197 0.14621409921671
6 2 43 348 42 14 9 6 3 2 1 1 0.28735632183908 0.785714285714286 0.266472868217054 0.420811017597552 0.391420361247947 0.821325944170772 0.360705918783718 0.530174689188004
6 2 44 348 42 15 5 4 2 1 2 1 0.117816091954023 0.8 0.114445219818562 0.205385097056982 0.123180076628352 0.932950191570881 0.122099159922718 0.217626328017441
6 2 45 348 42 4 4 2 2 1 0 1 0.152298850574713 0.5 0.13216957605985 0.233480176211454 0.266522988505747 0.5 0.210436755530346 0.347703842549203
6 2 46 348 42 15 7 4 2 1 0 1 0.149425287356322 0.666666666666667 0.13903743315508 0.244131455399061 0.184291187739464 0.666666666666667 0.168742325907735 0.288758817349542
6 2 47 348 42 10 8 8 7 1 2 1 0.448275862068966 1 0.448275862068966 0.619047619047619 1 1 1 1
6 2 48 348 42 26 13 6 2 1 2 1 0.169540229885057 0.653846153846154 0.155576237009462 0.269261744966443 0.197170645446508 0.845601237842617 0.190318882314543 0.319777977384468
6 2 49 348 42 1 1 1 1 1 0 1 0.0804597701149425 1 0.0804597701149425 0.148936170212766 0.0804597701149425 1 0.0804597701149425 0.148936170212766
6 2 50 348 42 12 7 5 2 2 1 1 0.238505747126437 0.75 0.220940550133097 0.361918604651163 0.297772988505747 0.833093869731801 0.281008762344533 0.438730429650183
6 2 51 348 42 27 12 6 3 1 2 1 0.21264367816092 0.777777777777778 0.20046439628483 0.33397807865893 0.299808429118774 1 0.299808429118774 0.461311717022845
6 2 52 348 42 13 7 6 3 2 2 1 0.264367816091954 0.923076923076923 0.258669165885661 0.411020104244229 0.324049513704686 1 0.324049513704686 0.489482470784641
6 2 53 348 42 4 3 2 1 1 1 1 0.0114942528735632 0.75 0.0114503816793893 0.0226415094339623 0.0125718390804598 0.874640804597701 0.0125492269101955 0.0247873912234166
6 2 54 348 42 12 9 3 1 2 0 1 0.137931034482759 0.416666666666667 0.115606936416185 0.207253886010363 0.145174808429119 0.416666666666667 0.120652768794467 0.215325874622625
6 2 55 348 42 9 7 2 2 1 0 1 0.0574712643678161 0.222222222222222 0.0478468899521531 0.091324200913242 0.108556832694764 0.222222222222222 0.0786672836649699 0.145860145860146
6 2 56 348 42 1 1 1 1 1 0 1 0.0258620689655172 1 0.0258620689655172 0.0504201680672269 0.0258620689655172 1 0.0258620689655172 0.0504201680672269
6 2 57 348 42 28 8 7 3 1 1 1 0.39367816091954 0.928571428571429 0.382106844024887 0.552933871468488 0.655531609195402 1 0.655531609195402 0.791928834888262
6 2 58 348 42 23 5 4 2 1 1 1 0.140804597701149 0.956521739130435 0.139909149902661 0.24547421154503 0.195777111444278 1 0.195777111444278 0.327447497649148
6 2 59 348 42 14 5 4 2 1 0 1 0.244252873563218 0.857142857142857 0.234698573400828 0.380171449869549 0.372331691297209 0.857142857142857 0.350576563808542 0.51915096589554
6 2 60 348 42 9 4 4 3 1 2 1 0.209770114942529 1 0.209770114942529 0.346793349168646 0.382183908045977 1 0.382183908045977 0.553014553014553
6 2 61 348 42 110 19 16 8 2 4 2 0.46551724137931 0.963636363636364 0.457480818414322 0.627769247642027 1 1 1 1
6 2 62 348 42 79 17 12 5 1 3 1 0.597701149425287 0.886075949367089 0.555047270509302 0.713865463816435 1 1 1 1
6 2 63 348 42 140 28 18 5 1 2 1 0.557471264367816 0.907142857142857 0.527377028126204 0.690565614664499 1 0.992610837438424 0.992610837438424 0.996291718170581
6 2 64 348 42 36 11 9 3 2 1 1 0.416666666666667 0.861111111111111 0.390428211586902 0.561594202898551 0.523527298850575 0.888809067688378 0.491347106865662 0.658930579747216
6 2 65 348 42 52 17 10 4 1 4 1 0.295977011494253 0.788461538461538 0.274202973832868 0.430391357521402 0.566534040671972 1 0.566534040671972 0.723296176097079
6 2 66 348 42 24 12 9 4 3 3 1 0.436781609195402 0.833333333333333 0.40169133192389 0.57315233785822 0.616698595146871 1 0.616698595146871 0.762911029920016
6 2 67 348 42 26 14 11 7 2 1 1 0.583333333333333 0.807692307692308 0.51219512195122 0.67741935483871 1 0.826867816091954 0.826867816091954 0.905230043255997
6 2 68 348 42 64 20 15 4 3 3 2 0.454022988505747 0.75 0.394342762063228 0.56563245823389 0.544540229885057 0.820110452586207 0.486438209598081 0.654501756557522
6 2 69 348 42 161 37 23 11 2 5 2 0.879310344827586 0.807453416149068 0.726893980923144 0.841851311027871 1 0.869386735203827 0.869386735203827 0.930130420668716
6 2 70 348 42 161 29 21 9 1 7 1 0.658045977011494 0.875776397515528 0.601867730390695 0.751457463025239 1 1 1 1
6 2 71 348 42 47 21 12 7 1 2 1 0.436781609195402 0.638297872340425 0.35012285012285 0.518653321201092 0.899425287356322 0.680728784543898 0.632577120330332 0.774943017947401
6 2 72 348 42 21 10 5 2 1 0 1 0.359195402298851 0.761904761904762 0.322945260778298 0.488221652630294 0.553503010399562 0.761904761904762 0.471881767077643 0.641195206887499
6 2 73 348 42 24 12 6 3 1 0 1 0.267241379310345 0.541666666666667 0.217955651703624 0.357904085257549 0.486170977011494 0.541666666666667 0.34446608784174 0.512420641854505
6 2 74 348 42 46 13 7 1 2 1 1 0.28448275862069 0.608695652173913 0.240499739718896 0.387746537977339 0.290104947526237 0.630372313843078 0.247930246653715 0.397346321749203
6 2 75 348 42 31 13 9 4 1 2 1 0.402298850574713 0.67741935483871 0.337620578778135 0.504807692307692 0.752688172043011 0.806080830552466 0.637291031525344 0.77847006946789
6 2 76 348 42 80 23 18 6 5 3 1 0.859195402298851 0.825 0.726743757825735 0.841750554512882 0.901760057471264 0.918480603448276 0.834935671373375 0.910043533840573
6 2 77 348 42 41 19 12 7 2 1 1 0.525862068965517 0.682926829268293 0.422667656520663 0.594190293964168 0.820227081581161 0.695086907765629 0.603193211960402 0.752489727950895
6 2 78 348 42 92 20 14 6 1 4 1 0.468390804597701 0.923913043478261 0.450994433774942 0.62163496051687 0.997063968015992 1 0.997063968015992 0.998529825768714
6 2 79 348 42 163 38 21 7 2 7 1 0.675287356321839 0.815950920245399 0.586023924700941 0.738984974405656 0.945173118961991 1 0.945173118961991 0.971813880983886
6 2 80 348 42 65 16 10 5 1 2 1 0.580459770114943 0.753846153846154 0.487970814435023 0.655887615134849 1 0.922590627763042 0.922590627763042 0.959736944974591
